"TABL. 1. POWIERZCHNIA, LUDNOŚĆ ORAZ LOKATY WEDŁUG WOJEWÓDZTW
                AREA, POPULATION AND RANKING POSITIONS BY VOIVODSHIPS";;;;;;;;
;;;;;;;;"Powrót do spisu tablic 
Return to the list of tables"
"Identyfikator
terytorialny
Territorial
identifier";"Województwa
Voivodships";"Powierzchnia
Area";;"Ludność
 Population";;"Lokata według
Ranking position by";;
;;"w ha
in ha";"w km²
in km²";"ogółem
total";"na 1 km²
per 1 km²";"powierzchni
w ha
area in ha";"liczby
ludności
population";
;P O L S K A;31393361;313933;37636508;120;x;x;
;P O L A N D;;;;;;;
02;Dolnośląskie;1994704;19947;2879271;144;7;5;
04;Kujawsko-pomorskie;1797155;17971;1996003;111;10;10;
06;Lubelskie;2512243;25122;2011047;80;3;9;
08;Lubuskie;1398772;13988;975023;70;13;15;
10;Łódzkie;1821898;18219;2362519;130;9;6;
12;Małopolskie;1518359;15184;3429632;226;12;4;
14;Mazowieckie;3555871;35559;5510527;155;1;1;
16;Opolskie;941160;9411;936725;100;16;16;
18;Podkarpackie;1784537;17845;2071676;116;11;8;
20;Podlaskie;2018685;20187;1138216;56;6;14;
22;Pomorskie;1954681;19547;2359573;121;8;7;
24;Śląskie;1233407;12334;4320130;350;14;2;
26;Świętokrzyskie;1170878;11709;1168499;100;15;13;
28;Warmińsko-mazurskie;2417371;24174;1357910;56;4;12;
30;Wielkopolskie;2982675;29827;3487973;117;2;3;
32;Zachodniopomorskie;2290965;22909;1631784;71;5;11;
